I_Gained,Inky_Novel,Inky_Fused,Clyde_Novel,Clyde_Fused,I_Fused,param_set,run
0.18975128406346778,0.12258544217537366,0.06716584188809412,0.12258558286962586,0.06716570119384192,0.13433154308193604,5,7
0.3199914177413106,0.3199914177413106,0.0,0.3199914177413106,0.0,0.0,5,8
0.3663987575748808,0.3663987575748808,0.0,0.30977537092709423,0.056623386647786544,0.056623386647786544,5,9
0.1150696123567883,0.009322645677676596,0.1057469666791117,0.009322643609771423,0.10574696874701688,0.21149393542612857,6,0
0.060253908323351556,0.01423713912267054,0.04601676920068101,0.014237139123577033,0.04601676919977452,0.09203353840045553,6,1
0.17462019852561286,0.0033261801128822515,0.17129401841273062,0.0033261808341264964,0.17129401769148636,0.34258803610421695,6,2
0.18923694274038244,0.18458412747954478,0.004652815260837662,0.18923694274038244,0.0,0.004652815260837662,6,3
0.1291727429118751,0.1291727429118751,0.0,0.038162585994952966,0.09101015691692214,0.09101015691692214,6,4
0.20071391132582014,0.20071391132582014,0.0,0.16957561433713222,0.03113829698868792,0.03113829698868792,6,5
0.10676630396169662,0.1043122666744472,0.002454037287249425,0.10431226667247583,0.0024540372892207923,0.004908074576470217,6,6
0.1110092729850502,0.10253077554135424,0.008478497443695956,0.10253077548599328,0.008478497499056922,0.01695699494275288,6,7
0.04043316178205313,0.03564083601640288,0.004792325765650252,1.4962631669942088e-05,0.040418199150383194,0.045210524916033445,6,8
0.22559146646067935,0.17364543001147933,0.05194603644920001,0.17364540155382427,0.05194606490685508,0.10389210135605509,6,9
0.33110976789380087,0.33110976789380087,0.0,0.33110976789380087,0.0,0.0,1,0
0.24065952378567343,0.24065952378567343,0.0,0.12871717016254577,0.11194235362312766,0.11194235362312766,1,1
0.3552011976398182,0.3552011976398182,0.0,0.3552011976398182,0.0,0.0,1,2
0.44599069245658896,0.44599069245658896,0.0,0.44599069245658896,0.0,0.0,1,3
0.2728631789208392,0.2728631789208392,0.0,0.2728631789208392,0.0,0.0,1,4
0.39535151882194586,0.39535151882194586,0.0,0.39535151882194586,0.0,0.0,1,5
0.29922498112437595,0.17668260897344223,0.12254237215093372,0.29922498112437595,0.0,0.12254237215093372,1,6
0.28450230091518885,0.28450230091518885,0.0,0.28450230091518885,0.0,0.0,1,7
0.383210498744283,0.383210498744283,0.0,0.383210498744283,0.0,0.0,1,8
0.32284309892732455,0.32284309892732455,0.0,0.32284309892732455,0.0,0.0,1,9
0.14718085921124505,0.14718085921124505,0.0,0.06116316923693474,0.08601768997431031,0.08601768997431031,2,0
0.3903769831279663,0.3903769831279663,0.0,0.3903769831279663,0.0,0.0,2,1
0.4235546407207137,0.4235546407207137,0.0,0.4235546407207137,0.0,0.0,2,2
0.26449535408491065,0.26449535408491065,0.0,0.26449535408491065,0.0,0.0,2,3
0.30501793526793347,0.30501793526793347,0.0,0.30501793526793347,0.0,0.0,2,4
0.4478253825087887,0.30562696224370267,0.14219842026508606,0.4478253825087887,0.0,0.14219842026508606,2,5
0.2060747125625011,0.2060747125625011,0.0,0.2060747125625011,0.0,0.0,2,6
0.2744136080107853,0.2744136080107853,0.0,0.2744136080107853,0.0,0.0,2,7
0.22424721895757327,0.15380087599687847,0.0704463429606948,0.22424721895757327,0.0,0.0704463429606948,2,8
0.5635318243160429,0.5635318243160429,0.0,0.5635318243160429,0.0,0.0,2,9
0.32505039728688245,0.32505039728688245,0.0,0.32505039728688245,0.0,0.0,3,0
0.303323862991938,0.303323862991938,0.0,0.181529805889111,0.12179405710282698,0.12179405710282698,3,1
0.2521928650620301,0.2521928650620301,0.0,0.08052462161494629,0.1716682434470838,0.1716682434470838,3,2
0.33598212033339225,0.33598212033339225,0.0,0.33598212033339225,0.0,0.0,3,3
0.22562752463249247,0.028668436436617598,0.19695908819587488,0.02866843711553876,0.1969590875169537,0.3939181757128286,3,4
0.4794411660373946,0.4794411660373946,0.0,0.4794411660373946,0.0,0.0,3,5
0.14326982474674266,0.14326982474674266,0.0,0.016385495040610074,0.1268843297061326,0.1268843297061326,3,6
0.34631697393448274,0.34631697393448274,0.0,0.34631697393448274,0.0,0.0,3,7
0.39430348611365534,0.39430348611365534,0.0,0.39430348611365534,0.0,0.0,3,8
0.3294011552675653,0.3294011552675653,0.0,0.3294011552675653,0.0,0.0,3,9
0.24013884707068825,0.11395609730759168,0.12618274976309657,0.24013884707068825,0.0,0.12618274976309657,4,0
0.3332470711233639,0.3332470711233639,0.0,0.3332470711233639,0.0,0.0,4,1
0.26124186839648555,0.17010718030674452,0.09113468808974104,0.26124186839648555,0.0,0.09113468808974104,4,2
0.16466660986588375,0.060315955500249374,0.10435065436563437,0.06031595194164256,0.10435065792424118,0.20870131228987554,4,3
0.12417467644020809,0.01996357767655774,0.10421109876365035,0.019963577725161323,0.10421109871504677,0.2084221974786971,4,4
0.4638025341112479,0.4638025341112479,0.0,0.4638025341112479,0.0,0.0,4,5
0.36431828367107894,0.36431828367107894,0.0,0.36431828367107894,0.0,0.0,4,6
0.27169042782591546,0.27169042782591546,0.0,0.27169042782591546,0.0,0.0,4,7
0.3066493848091698,0.3066493848091698,0.0,0.3066493848091698,0.0,0.0,4,8
